Segment;Region; Product ; Discount Band ;  Units Sold  ; Manufacturing Price ; Sale Price ; Gross Sales ; Discounts ;   Sales  ;  COGS  ;  Profit  ;Date;Month Number; Month Name ;Year
Midmarket;Banten; Fashion ; Medium ;  $1,262.00  ; $120.00 ; $15.00 ; $18,930.00 ; $1,325.10 ;  $17,604.90  ;  $12,620.00  ;  $4,984.90  ;05/01/2022;5; May ;2022
Government;Banten; Fashion ; Medium ;  $1,135.00  ; $120.00 ; $7.00 ; $7,945.00 ; $556.15 ;  $7,388.85  ;  $5,675.00  ;  $1,713.85  ;06/01/2022;6; June ;2022
Government;East Java; Fashion ; Medium ;  $547.00  ; $120.00 ; $7.00 ; $3,829.00 ; $268.03 ;  $3,560.97  ;  $2,735.00  ;  $825.97  ;11/01/2022;11; November ;2022
Government;Banten; Fashion ; Medium ;  $1,582.00  ; $120.00 ; $7.00 ; $11,074.00 ; $775.18 ;  $10,298.82  ;  $7,910.00  ;  $2,388.82  ;12/01/2022;12; December ;2022
Channel Partners;Jakarta; Cloud Computing ; Medium ;  $1,738.50  ; $250.00 ; $12.00 ; $20,862.00 ; $1,460.34 ;  $19,401.66  ;  $5,215.50  ;  $14,186.16  ;04/01/2022;4; April ;2022
Channel Partners;West Java; Cloud Computing ; Medium ;  $2,215.00  ; $250.00 ; $12.00 ; $26,580.00 ; $1,860.60 ;  $24,719.40  ;  $6,645.00  ;  $18,074.40  ;09/01/2013;9; September ;2013
Government;Banten; Cloud Computing ; Medium ;  $1,582.00  ; $250.00 ; $7.00 ; $11,074.00 ; $775.18 ;  $10,298.82  ;  $7,910.00  ;  $2,388.82  ;12/01/2022;12; December ;2022
Government;Banten; Project Management  ; Medium ;  $1,135.00  ; $260.00 ; $7.00 ; $7,945.00 ; $556.15 ;  $7,388.85  ;  $5,675.00  ;  $1,713.85  ;06/01/2022;6; June ;2022
Government;East Java; Training ; Medium ;  $1,761.00  ; $3.00 ; $350.00 ; $616,350.00 ; $43,144.50 ;  $573,205.50  ;  $457,860.00  ;  $115,345.50  ;03/01/2022;3; March ;2022
Small Business;Jakarta; Training ; Medium ;  $448.00  ; $3.00 ; $300.00 ; $134,400.00 ; $9,408.00 ;  $124,992.00  ;  $112,000.00  ;  $12,992.00  ;06/01/2022;6; June ;2022
Small Business;Jakarta; Training ; Medium ;  $2,181.00  ; $3.00 ; $300.00 ; $654,300.00 ; $45,801.00 ;  $608,499.00  ;  $545,250.00  ;  $63,249.00  ;10/01/2022;10; October ;2022
Government;Jakarta; Education ; Medium ;  $1,976.00  ; $5.00 ; $20.00 ; $39,520.00 ; $2,766.40 ;  $36,753.60  ;  $19,760.00  ;  $16,993.60  ;10/01/2022;10; October ;2022
Small Business;Jakarta; Education ; Medium ;  $2,181.00  ; $5.00 ; $300.00 ; $654,300.00 ; $45,801.00 ;  $608,499.00  ;  $545,250.00  ;  $63,249.00  ;10/01/2022;10; October ;2022
Small Business;Banten; Loan ; Medium ;  $1,702.00  ; $10.00 ; $300.00 ; $510,600.00 ; $35,742.00 ;  $474,858.00  ;  $425,500.00  ;  $49,358.00  ;05/01/2022;5; May ;2022
Small Business;Jakarta; Loan ; Medium ;  $448.00  ; $10.00 ; $300.00 ; $134,400.00 ; $9,408.00 ;  $124,992.00  ;  $112,000.00  ;  $12,992.00  ;06/01/2022;6; June ;2022
Midmarket;Jakarta; Loan ; Medium ;  $2,101.00  ; $10.00 ; $15.00 ; $31,515.00 ; $2,206.05 ;  $29,308.95  ;  $21,010.00  ;  $8,298.95  ;08/01/2022;8; August ;2022
Midmarket;East Java; Loan ; Medium ;  $2,931.00  ; $10.00 ; $15.00 ; $43,965.00 ; $3,077.55 ;  $40,887.45  ;  $29,310.00  ;  $11,577.45  ;09/01/2013;9; September ;2013
Government;Jakarta; Loan ; Medium ;  $1,535.00  ; $10.00 ; $20.00 ; $30,700.00 ; $2,149.00 ;  $28,551.00  ;  $15,350.00  ;  $13,201.00  ;09/01/2022;9; September ;2022
Small Business;West Java; Loan ; Medium ;  $1,123.00  ; $10.00 ; $300.00 ; $336,900.00 ; $23,583.00 ;  $313,317.00  ;  $280,750.00  ;  $32,567.00  ;09/01/2013;9; September ;2013
Small Business;Banten; Loan ; Medium ;  $1,404.00  ; $10.00 ; $300.00 ; $421,200.00 ; $29,484.00 ;  $391,716.00  ;  $351,000.00  ;  $40,716.00  ;11/01/2013;11; November ;2013
Channel Partners;Yogyakarta; Loan ; Medium ;  $2,763.00  ; $10.00 ; $12.00 ; $33,156.00 ; $2,320.92 ;  $30,835.08  ;  $8,289.00  ;  $22,546.08  ;11/01/2013;11; November ;2013
Government;West Java; Loan ; Medium ;  $2,125.00  ; $10.00 ; $7.00 ; $14,875.00 ; $1,041.25 ;  $13,833.75  ;  $10,625.00  ;  $3,208.75  ;12/01/2013;12; December ;2013
Small Business;Jakarta; Fashion ; Medium ;  $1,659.00  ; $120.00 ; $300.00 ; $497,700.00 ; $34,839.00 ;  $462,861.00  ;  $414,750.00  ;  $48,111.00  ;07/01/2022;7; July ;2022
Government;Yogyakarta; Fashion ; Medium ;  $609.00  ; $120.00 ; $20.00 ; $12,180.00 ; $852.60 ;  $11,327.40  ;  $6,090.00  ;  $5,237.40  ;08/01/2022;8; August ;2022
Government;Jakarta; Fashion ; Medium ;  $1,976.00  ; $120.00 ; $20.00 ; $39,520.00 ; $2,766.40 ;  $36,753.60  ;  $19,760.00  ;  $16,993.60  ;10/01/2022;10; October ;2022
Government;East Java; Fashion ; Medium ;  $1,421.00  ; $120.00 ; $20.00 ; $28,420.00 ; $1,989.40 ;  $26,430.60  ;  $14,210.00  ;  $12,220.60  ;12/01/2013;12; December ;2013
Small Business;East Java; Fashion ; Medium ;  $1,372.00  ; $120.00 ; $300.00 ; $411,600.00 ; $28,812.00 ;  $382,788.00  ;  $343,000.00  ;  $39,788.00  ;12/01/2022;12; December ;2022
Government;West Java; Fashion ; Medium ;  $588.00  ; $120.00 ; $20.00 ; $11,760.00 ; $823.20 ;  $10,936.80  ;  $5,880.00  ;  $5,056.80  ;12/01/2013;12; December ;2013
Channel Partners;Banten; Cloud Computing ; Medium ;  $3,244.50  ; $250.00 ; $12.00 ; $38,934.00 ; $2,725.38 ;  $36,208.62  ;  $9,733.50  ;  $26,475.12  ;01/01/2022;1; January ;2022
Small Business;Jakarta; Cloud Computing ; Medium ;  $959.00  ; $250.00 ; $300.00 ; $287,700.00 ; $20,139.00 ;  $267,561.00  ;  $239,750.00  ;  $27,811.00  ;02/01/2022;2; February ;2022
Small Business;Yogyakarta; Cloud Computing ; Medium ;  $2,747.00  ; $250.00 ; $300.00 ; $824,100.00 ; $57,687.00 ;  $766,413.00  ;  $686,750.00  ;  $79,663.00  ;02/01/2022;2; February ;2022
Government;Jakarta; Project Management  ; Medium ;  $2,876.00  ; $260.00 ; $350.00 ; $1,006,600.00 ; $70,462.00 ;  $936,138.00  ;  $747,760.00  ;  $188,378.00  ;09/01/2022;9; September ;2022
Government;Banten; Project Management  ; Medium ;  $1,118.00  ; $260.00 ; $20.00 ; $22,360.00 ; $1,565.20 ;  $20,794.80  ;  $11,180.00  ;  $9,614.80  ;11/01/2022;11; November ;2022
Small Business;East Java; Project Management  ; Medium ;  $1,372.00  ; $260.00 ; $300.00 ; $411,600.00 ; $28,812.00 ;  $382,788.00  ;  $343,000.00  ;  $39,788.00  ;12/01/2022;12; December ;2022
Government;Banten; Education ; Medium ;  $488.00  ; $5.00 ; $7.00 ; $3,416.00 ; $273.28 ;  $3,142.72  ;  $2,440.00  ;  $702.72  ;02/01/2022;2; February ;2022
Government;East Java; Education ; Medium ;  $1,282.00  ; $5.00 ; $20.00 ; $25,640.00 ; $2,051.20 ;  $23,588.80  ;  $12,820.00  ;  $10,768.80  ;06/01/2021;6; June ;2021
Government;Banten; Loan ; Medium ;  $257.00  ; $10.00 ; $7.00 ; $1,799.00 ; $143.92 ;  $1,655.08  ;  $1,285.00  ;  $370.08  ;05/01/2021;5; May ;2021
Government;East Java; Project Management  ; Medium ;  $1,282.00  ; $260.00 ; $20.00 ; $25,640.00 ; $2,051.20 ;  $23,588.80  ;  $12,820.00  ;  $10,768.80  ;06/01/2021;6; June ;2021
Midmarket;Jakarta; Training ; Medium ;  $490.00  ; $3.00 ; $15.00 ; $7,350.00 ; $588.00 ;  $6,762.00  ;  $4,900.00  ;  $1,862.00  ;11/01/2021;11; November ;2021
Government;Yogyakarta; Training ; Medium ;  $1,362.00  ; $3.00 ; $350.00 ; $476,700.00 ; $38,136.00 ;  $438,564.00  ;  $354,120.00  ;  $84,444.00  ;12/01/2021;12; December ;2021
Midmarket;Jakarta; Education ; Medium ;  $2,501.00  ; $5.00 ; $15.00 ; $37,515.00 ; $3,001.20 ;  $34,513.80  ;  $25,010.00  ;  $9,503.80  ;03/01/2021;3; March ;2021
Government;Banten; Education ; Medium ;  $708.00  ; $5.00 ; $20.00 ; $14,160.00 ; $1,132.80 ;  $13,027.20  ;  $7,080.00  ;  $5,947.20  ;06/01/2021;6; June ;2021
Government;West Java; Education ; Medium ;  $645.00  ; $5.00 ; $20.00 ; $12,900.00 ; $1,032.00 ;  $11,868.00  ;  $6,450.00  ;  $5,418.00  ;07/01/2021;7; July ;2021
Small Business;Jakarta; Education ; Medium ;  $1,562.00  ; $5.00 ; $300.00 ; $468,600.00 ; $37,488.00 ;  $431,112.00  ;  $390,500.00  ;  $40,612.00  ;08/01/2021;8; August ;2021
Small Business;Banten; Education ; Medium ;  $1,283.00  ; $5.00 ; $300.00 ; $384,900.00 ; $30,792.00 ;  $354,108.00  ;  $320,750.00  ;  $33,358.00  ;09/01/2013;9; September ;2013
Midmarket;West Java; Education ; Medium ;  $711.00  ; $5.00 ; $15.00 ; $10,665.00 ; $853.20 ;  $9,811.80  ;  $7,110.00  ;  $2,701.80  ;12/01/2021;12; December ;2021
Government;West Java; Loan ; Medium ;  $1,259.00  ; $10.00 ; $7.00 ; $8,813.00 ; $705.04 ;  $8,107.96  ;  $6,295.00  ;  $1,812.96  ;04/01/2021;4; April ;2021
Government;West Java; Loan ; Medium ;  $1,095.00  ; $10.00 ; $7.00 ; $7,665.00 ; $613.20 ;  $7,051.80  ;  $5,475.00  ;  $1,576.80  ;05/01/2021;5; May ;2021
Government;West Java; Loan ; Medium ;  $1,366.00  ; $10.00 ; $20.00 ; $27,320.00 ; $2,185.60 ;  $25,134.40  ;  $13,660.00  ;  $11,474.40  ;06/01/2021;6; June ;2021
Small Business;Yogyakarta; Loan ; Medium ;  $2,460.00  ; $10.00 ; $300.00 ; $738,000.00 ; $59,040.00 ;  $678,960.00  ;  $615,000.00  ;  $63,960.00  ;06/01/2021;6; June ;2021
Government;East Java; Loan ; Medium ;  $678.00  ; $10.00 ; $7.00 ; $4,746.00 ; $379.68 ;  $4,366.32  ;  $3,390.00  ;  $976.32  ;08/01/2021;8; August ;2021
Government;West Java; Loan ; Medium ;  $1,598.00  ; $10.00 ; $7.00 ; $11,186.00 ; $894.88 ;  $10,291.12  ;  $7,990.00  ;  $2,301.12  ;08/01/2021;8; August ;2021
Government;West Java; Loan ; Medium ;  $2,409.00  ; $10.00 ; $7.00 ; $16,863.00 ; $1,349.04 ;  $15,513.96  ;  $12,045.00  ;  $3,468.96  ;09/01/2013;9; September ;2013
Government;West Java; Loan ; Medium ;  $1,934.00  ; $10.00 ; $20.00 ; $38,680.00 ; $3,094.40 ;  $35,585.60  ;  $19,340.00  ;  $16,245.60  ;09/01/2021;9; September ;2021
Government;Yogyakarta; Loan ; Medium ;  $2,993.00  ; $10.00 ; $20.00 ; $59,860.00 ; $4,788.80 ;  $55,071.20  ;  $29,930.00  ;  $25,141.20  ;09/01/2021;9; September ;2021
Government;West Java; Loan ; Medium ;  $2,146.00  ; $10.00 ; $350.00 ; $751,100.00 ; $60,088.00 ;  $691,012.00  ;  $557,960.00  ;  $133,052.00  ;11/01/2013;11; November ;2013
Government;Yogyakarta; Loan ; Medium ;  $1,946.00  ; $10.00 ; $7.00 ; $13,622.00 ; $1,089.76 ;  $12,532.24  ;  $9,730.00  ;  $2,802.24  ;12/01/2013;12; December ;2013
Government;Yogyakarta; Loan ; Medium ;  $1,362.00  ; $10.00 ; $350.00 ; $476,700.00 ; $38,136.00 ;  $438,564.00  ;  $354,120.00  ;  $84,444.00  ;12/01/2021;12; December ;2021
Channel Partners;Banten; Fashion ; Medium ;  $598.00  ; $120.00 ; $12.00 ; $7,176.00 ; $574.08 ;  $6,601.92  ;  $1,794.00  ;  $4,807.92  ;03/01/2021;3; March ;2021
Government;East Java; Fashion ; Medium ;  $2,907.00  ; $120.00 ; $7.00 ; $20,349.00 ; $1,627.92 ;  $18,721.08  ;  $14,535.00  ;  $4,186.08  ;06/01/2021;6; June ;2021
Government;West Java; Fashion ; Medium ;  $2,338.00  ; $120.00 ; $7.00 ; $16,366.00 ; $1,309.28 ;  $15,056.72  ;  $11,690.00  ;  $3,366.72  ;06/01/2021;6; June ;2021
Small Business;Jakarta; Fashion ; Medium ;  $386.00  ; $120.00 ; $300.00 ; $115,800.00 ; $9,264.00 ;  $106,536.00  ;  $96,500.00  ;  $10,036.00  ;11/01/2013;11; November ;2013
Small Business;Yogyakarta; Fashion ; Medium ;  $635.00  ; $120.00 ; $300.00 ; $190,500.00 ; $15,240.00 ;  $175,260.00  ;  $158,750.00  ;  $16,510.00  ;12/01/2021;12; December ;2021
Government;Jakarta; Cloud Computing ; Medium ;  $574.50  ; $250.00 ; $350.00 ; $201,075.00 ; $16,086.00 ;  $184,989.00  ;  $149,370.00  ;  $35,619.00  ;04/01/2021;4; April ;2021
Government;West Java; Cloud Computing ; Medium ;  $2,338.00  ; $250.00 ; $7.00 ; $16,366.00 ; $1,309.28 ;  $15,056.72  ;  $11,690.00  ;  $3,366.72  ;06/01/2021;6; June ;2021
Government;Jakarta; Cloud Computing ; Medium ;  $381.00  ; $250.00 ; $350.00 ; $133,350.00 ; $10,668.00 ;  $122,682.00  ;  $99,060.00  ;  $23,622.00  ;08/01/2021;8; August ;2021
Government;West Java; Cloud Computing ; Medium ;  $422.00  ; $250.00 ; $350.00 ; $147,700.00 ; $11,816.00 ;  $135,884.00  ;  $109,720.00  ;  $26,164.00  ;08/01/2021;8; August ;2021
Small Business;Banten; Cloud Computing ; Medium ;  $2,134.00  ; $250.00 ; $300.00 ; $640,200.00 ; $51,216.00 ;  $588,984.00  ;  $533,500.00  ;  $55,484.00  ;09/01/2021;9; September ;2021
Small Business;East Java; Cloud Computing ; Medium ;  $808.00  ; $250.00 ; $300.00 ; $242,400.00 ; $19,392.00 ;  $223,008.00  ;  $202,000.00  ;  $21,008.00  ;12/01/2013;12; December ;2013
Government;Banten; Project Management  ; Medium ;  $708.00  ; $260.00 ; $20.00 ; $14,160.00 ; $1,132.80 ;  $13,027.20  ;  $7,080.00  ;  $5,947.20  ;06/01/2021;6; June ;2021
Government;East Java; Project Management  ; Medium ;  $2,907.00  ; $260.00 ; $7.00 ; $20,349.00 ; $1,627.92 ;  $18,721.08  ;  $14,535.00  ;  $4,186.08  ;06/01/2021;6; June ;2021
Government;West Java; Project Management  ; Medium ;  $1,366.00  ; $260.00 ; $20.00 ; $27,320.00 ; $2,185.60 ;  $25,134.40  ;  $13,660.00  ;  $11,474.40  ;06/01/2021;6; June ;2021
Small Business;Yogyakarta; Project Management  ; Medium ;  $2,460.00  ; $260.00 ; $300.00 ; $738,000.00 ; $59,040.00 ;  $678,960.00  ;  $615,000.00  ;  $63,960.00  ;06/01/2021;6; June ;2021
Government;West Java; Project Management  ; Medium ;  $1,520.00  ; $260.00 ; $20.00 ; $30,400.00 ; $2,432.00 ;  $27,968.00  ;  $15,200.00  ;  $12,768.00  ;11/01/2021;11; November ;2021
Midmarket;West Java; Project Management  ; Medium ;  $711.00  ; $260.00 ; $15.00 ; $10,665.00 ; $853.20 ;  $9,811.80  ;  $7,110.00  ;  $2,701.80  ;12/01/2021;12; December ;2021
Channel Partners;Yogyakarta; Project Management  ; Medium ;  $1,375.00  ; $260.00 ; $12.00 ; $16,500.00 ; $1,320.00 ;  $15,180.00  ;  $4,125.00  ;  $11,055.00  ;12/01/2013;12; December ;2013
Small Business;Yogyakarta; Project Management  ; Medium ;  $635.00  ; $260.00 ; $300.00 ; $190,500.00 ; $15,240.00 ;  $175,260.00  ;  $158,750.00  ;  $16,510.00  ;12/01/2021;12; December ;2021
Government;East Java; Cloud Computing ; Medium ;  $436.50  ; $250.00 ; $20.00 ; $8,730.00 ; $698.40 ;  $8,031.60  ;  $4,365.00  ;  $3,666.60  ;07/01/2021;7; July ;2021
Small Business;Banten; Training ; Medium ;  $1,094.00  ; $3.00 ; $300.00 ; $328,200.00 ; $29,538.00 ;  $298,662.00  ;  $273,500.00  ;  $25,162.00  ;06/01/2021;6; June ;2021
Channel Partners;Yogyakarta; Training ; Medium ;  $367.00  ; $3.00 ; $12.00 ; $4,404.00 ; $396.36 ;  $4,007.64  ;  $1,101.00  ;  $2,906.64  ;10/01/2013;10; October ;2013
Small Business;Banten; Education ; Medium ;  $3,802.50  ; $5.00 ; $300.00 ; $1,140,750.00 ; $102,667.50 ;  $1,038,082.50  ;  $950,625.00  ;  $87,457.50  ;04/01/2021;4; April ;2021
Government;Jakarta; Education ; Medium ;  $1,666.00  ; $5.00 ; $350.00 ; $583,100.00 ; $52,479.00 ;  $530,621.00  ;  $433,160.00  ;  $97,461.00  ;05/01/2021;5; May ;2021
Small Business;Jakarta; Education ; Medium ;  $322.00  ; $5.00 ; $300.00 ; $96,600.00 ; $8,694.00 ;  $87,906.00  ;  $80,500.00  ;  $7,406.00  ;09/01/2013;9; September ;2013
Channel Partners;Banten; Education ; Medium ;  $2,321.00  ; $5.00 ; $12.00 ; $27,852.00 ; $2,506.68 ;  $25,345.32  ;  $6,963.00  ;  $18,382.32  ;11/01/2021;11; November ;2021
Government;Banten; Education ; Medium ;  $1,611.00  ; $5.00 ; $7.00 ; $11,277.00 ; $1,014.93 ;  $10,262.07  ;  $8,055.00  ;  $2,207.07  ;12/01/2013;12; December ;2013
Small Business;West Java; Education ; Medium ;  $334.00  ; $5.00 ; $300.00 ; $100,200.00 ; $9,018.00 ;  $91,182.00  ;  $83,500.00  ;  $7,682.00  ;12/01/2013;12; December ;2013
Small Business;Yogyakarta; Loan ; Medium ;  $2,565.00  ; $10.00 ; $300.00 ; $769,500.00 ; $69,255.00 ;  $700,245.00  ;  $641,250.00  ;  $58,995.00  ;01/01/2021;1; January ;2021
Government;Yogyakarta; Loan ; Medium ;  $2,417.00  ; $10.00 ; $350.00 ; $845,950.00 ; $76,135.50 ;  $769,814.50  ;  $628,420.00  ;  $141,394.50  ;01/01/2021;1; January ;2021
Midmarket;East Java; Loan ; Medium ;  $3,675.00  ; $10.00 ; $15.00 ; $55,125.00 ; $4,961.25 ;  $50,163.75  ;  $36,750.00  ;  $13,413.75  ;04/01/2021;4; April ;2021
Small Business;Banten; Loan ; Medium ;  $1,094.00  ; $10.00 ; $300.00 ; $328,200.00 ; $29,538.00 ;  $298,662.00  ;  $273,500.00  ;  $25,162.00  ;06/01/2021;6; June ;2021
Midmarket;Jakarta; Loan ; Medium ;  $1,227.00  ; $10.00 ; $15.00 ; $18,405.00 ; $1,656.45 ;  $16,748.55  ;  $12,270.00  ;  $4,478.55  ;10/01/2021;10; October ;2021
Channel Partners;Yogyakarta; Loan ; Medium ;  $367.00  ; $10.00 ; $12.00 ; $4,404.00 ; $396.36 ;  $4,007.64  ;  $1,101.00  ;  $2,906.64  ;10/01/2013;10; October ;2013
Small Business;Jakarta; Loan ; Medium ;  $1,324.00  ; $10.00 ; $300.00 ; $397,200.00 ; $35,748.00 ;  $361,452.00  ;  $331,000.00  ;  $30,452.00  ;11/01/2021;11; November ;2021
Channel Partners;West Java; Loan ; Medium ;  $1,775.00  ; $10.00 ; $12.00 ; $21,300.00 ; $1,917.00 ;  $19,383.00  ;  $5,325.00  ;  $14,058.00  ;11/01/2013;11; November ;2013
Midmarket;Yogyakarta; Fashion ; Medium ;  $245.00  ; $120.00 ; $15.00 ; $3,675.00 ; $330.75 ;  $3,344.25  ;  $2,450.00  ;  $894.25  ;05/01/2021;5; May ;2021
Small Business;Banten; Fashion ; Medium ;  $3,793.50  ; $120.00 ; $300.00 ; $1,138,050.00 ; $102,424.50 ;  $1,035,625.50  ;  $948,375.00  ;  $87,250.50  ;07/01/2021;7; July ;2021
Government;West Java; Fashion ; Medium ;  $1,307.00  ; $120.00 ; $350.00 ; $457,450.00 ; $41,170.50 ;  $416,279.50  ;  $339,820.00  ;  $76,459.50  ;07/01/2021;7; July ;2021
Government;Banten; Fashion ; Medium ;  $1,269.00  ; $120.00 ; $350.00 ; $444,150.00 ; $39,973.50 ;  $404,176.50  ;  $329,940.00  ;  $74,236.50  ;10/01/2021;10; October ;2021
Channel Partners;East Java; Cloud Computing ; Medium ;  $1,956.00  ; $250.00 ; $12.00 ; $23,472.00 ; $2,112.48 ;  $21,359.52  ;  $5,868.00  ;  $15,491.52  ;01/01/2021;1; January ;2021
Small Business;West Java; Cloud Computing ; Medium ;  $2,659.00  ; $250.00 ; $300.00 ; $797,700.00 ; $71,793.00 ;  $725,907.00  ;  $664,750.00  ;  $61,157.00  ;02/01/2021;2; February ;2021
Government;East Java; Cloud Computing ; Medium ;  $1,351.50  ; $250.00 ; $350.00 ; $473,025.00 ; $42,572.25 ;  $430,452.75  ;  $351,390.00  ;  $79,062.75  ;04/01/2021;4; April ;2021
Channel Partners;West Java; Cloud Computing ; Medium ;  $880.00  ; $250.00 ; $12.00 ; $10,560.00 ; $950.40 ;  $9,609.60  ;  $2,640.00  ;  $6,969.60  ;05/01/2021;5; May ;2021
Small Business;East Java; Cloud Computing ; Medium ;  $1,867.00  ; $250.00 ; $300.00 ; $560,100.00 ; $50,409.00 ;  $509,691.00  ;  $466,750.00  ;  $42,941.00  ;09/01/2021;9; September ;2021
Channel Partners;Jakarta; Cloud Computing ; Medium ;  $2,234.00  ; $250.00 ; $12.00 ; $26,808.00 ; $2,412.72 ;  $24,395.28  ;  $6,702.00  ;  $17,693.28  ;09/01/2013;9; September ;2013
Midmarket;Jakarta; Cloud Computing ; Medium ;  $1,227.00  ; $250.00 ; $15.00 ; $18,405.00 ; $1,656.45 ;  $16,748.55  ;  $12,270.00  ;  $4,478.55  ;10/01/2021;10; October ;2021
Government;East Java; Project Management  ; Medium ;  $2,071.00  ; $260.00 ; $350.00 ; $724,850.00 ; $65,236.50 ;  $659,613.50  ;  $538,460.00  ;  $121,153.50  ;09/01/2021;9; September ;2021
Government;Banten; Project Management  ; Medium ;  $1,269.00  ; $260.00 ; $350.00 ; $444,150.00 ; $39,973.50 ;  $404,176.50  ;  $329,940.00  ;  $74,236.50  ;10/01/2021;10; October ;2021
Midmarket;West Java; Project Management  ; Medium ;  $970.00  ; $260.00 ; $15.00 ; $14,550.00 ; $1,309.50 ;  $13,240.50  ;  $9,700.00  ;  $3,540.50  ;11/01/2013;11; November ;2013
Government;Yogyakarta; Project Management  ; Medium ;  $1,694.00  ; $260.00 ; $20.00 ; $33,880.00 ; $3,049.20 ;  $30,830.80  ;  $16,940.00  ;  $13,890.80  ;11/01/2021;11; November ;2021
Government;West Java; Training ; Medium ;  $663.00  ; $3.00 ; $20.00 ; $13,260.00 ; $1,193.40 ;  $12,066.60  ;  $6,630.00  ;  $5,436.60  ;05/01/2021;5; May ;2021
Government;Banten; Training ; Medium ;  $819.00  ; $3.00 ; $7.00 ; $5,733.00 ; $515.97 ;  $5,217.03  ;  $4,095.00  ;  $1,122.03  ;07/01/2021;7; July ;2021
Channel Partners;West Java; Training ; Medium ;  $1,580.00  ; $3.00 ; $12.00 ; $18,960.00 ; $1,706.40 ;  $17,253.60  ;  $4,740.00  ;  $12,513.60  ;09/01/2021;9; September ;2021
Government;Yogyakarta; Training ; Medium ;  $521.00  ; $3.00 ; $7.00 ; $3,647.00 ; $328.23 ;  $3,318.77  ;  $2,605.00  ;  $713.77  ;12/01/2021;12; December ;2021
Government;East Java; Loan ; Medium ;  $973.00  ; $10.00 ; $20.00 ; $19,460.00 ; $1,751.40 ;  $17,708.60  ;  $9,730.00  ;  $7,978.60  ;03/01/2021;3; March ;2021
Government;Yogyakarta; Loan ; Medium ;  $1,038.00  ; $10.00 ; $20.00 ; $20,760.00 ; $1,868.40 ;  $18,891.60  ;  $10,380.00  ;  $8,511.60  ;06/01/2021;6; June ;2021
Government;West Java; Loan ; Medium ;  $360.00  ; $10.00 ; $7.00 ; $2,520.00 ; $226.80 ;  $2,293.20  ;  $1,800.00  ;  $493.20  ;10/01/2023;10; October ;2023
Channel Partners;Jakarta; Fashion ; Medium ;  $1,967.00  ; $120.00 ; $12.00 ; $23,604.00 ; $2,124.36 ;  $21,479.64  ;  $5,901.00  ;  $15,578.64  ;03/01/2023;3; March ;2023
Midmarket;Yogyakarta; Fashion ; Medium ;  $2,628.00  ; $120.00 ; $15.00 ; $39,420.00 ; $3,547.80 ;  $35,872.20  ;  $26,280.00  ;  $9,592.20  ;04/01/2023;4; April ;2023
Government;West Java; Cloud Computing ; Medium ;  $360.00  ; $250.00 ; $7.00 ; $2,520.00 ; $226.80 ;  $2,293.20  ;  $1,800.00  ;  $493.20  ;10/01/2023;10; October ;2023
Government;Jakarta; Cloud Computing ; Medium ;  $2,682.00  ; $250.00 ; $20.00 ; $53,640.00 ; $4,827.60 ;  $48,812.40  ;  $26,820.00  ;  $21,992.40  ;11/01/2013;11; November ;2013
Government;Yogyakarta; Cloud Computing ; Medium ;  $521.00  ; $250.00 ; $7.00 ; $3,647.00 ; $328.23 ;  $3,318.77  ;  $2,605.00  ;  $713.77  ;12/01/2023;12; December ;2023
Government;Yogyakarta; Project Management  ; Medium ;  $1,038.00  ; $260.00 ; $20.00 ; $20,760.00 ; $1,868.40 ;  $18,891.60  ;  $10,380.00  ;  $8,511.60  ;06/01/2023;6; June ;2023
Midmarket;Banten; Project Management  ; Medium ;  $1,630.50  ; $260.00 ; $15.00 ; $24,457.50 ; $2,201.18 ;  $22,256.32  ;  $16,305.00  ;  $5,951.32  ;07/01/2023;7; July ;2023
Channel Partners;Jakarta; Project Management  ; Medium ;  $306.00  ; $260.00 ; $12.00 ; $3,672.00 ; $330.48 ;  $3,341.52  ;  $918.00  ;  $2,423.52  ;12/01/2013;12; December ;2013
Channel Partners;East Java; Training ; High ;  $386.00  ; $3.00 ; $12.00 ; $4,632.00 ; $463.20 ;  $4,168.80  ;  $1,158.00  ;  $3,010.80  ;10/01/2013;10; October ;2013
Government;East Java; Education ; High ;  $2,328.00  ; $5.00 ; $7.00 ; $16,296.00 ; $1,629.60 ;  $14,666.40  ;  $11,640.00  ;  $3,026.40  ;09/01/2023;9; September ;2023
Channel Partners;East Java; Loan ; High ;  $386.00  ; $10.00 ; $12.00 ; $4,632.00 ; $463.20 ;  $4,168.80  ;  $1,158.00  ;  $3,010.80  ;10/01/2013;10; October ;2013
Government;East Java; Education ; High ;  $2,313.00  ; $5.00 ; $350.00 ; $809,550.00 ; $80,955.00 ;  $728,595.00  ;  $601,380.00  ;  $127,215.00  ;05/01/2023;5; May ;2023
Midmarket;Jakarta; Education ; High ;  $2,072.00  ; $5.00 ; $15.00 ; $31,080.00 ; $3,108.00 ;  $27,972.00  ;  $20,720.00  ;  $7,252.00  ;12/01/2023;12; December ;2023
Government;Jakarta; Loan ; High ;  $1,954.00  ; $10.00 ; $20.00 ; $39,080.00 ; $3,908.00 ;  $35,172.00  ;  $19,540.00  ;  $15,632.00  ;03/01/2023;3; March ;2023
